bigerror,localError,mark,name,of_total,results,time
:),'module' object has no attribute 'calculate_hypotenuse',0,NavkaranVirdi,0,-,0.465178012848
:),'module' object has no attribute 'calculate_hypotenuse',0,addycap,0,-,0.515001773834
:),'module' object has no attribute 'calculate_hypotenuse',0,JoshuaCoady,0,-,0.465991020203
:),'module' object has no attribute 'calculate_hypotenuse',0,Rizo007,0,-,0.516117095947
:),'module' object has no attribute 'calculate_hypotenuse',0,kmatthews25,0,-,0.516155004501
:),'module' object has no attribute 'calculate_hypotenuse',0,hoserinoz,0,-,0.516167879105
:),'module' object has no attribute 'calculate_hypotenuse',0,charlottecui,0,-,0.516027927399
:),'module' object has no attribute 'calculate_hypotenuse',0,Chidzzy,0,-,0.465909004211
:),'module' object has no attribute 'calculate_hypotenuse',0,Caroline120248,0,-,0.464970111847
:),'module' object has no attribute 'calculate_hypotenuse',0,Thuvab,0,-,0.464828014374
:),'module' object has no attribute 'calculate_hypotenuse',0,Sunsadymark,0,-,0.516129016876
:),:),59,mattwalden014,59,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",14.8053839207
:),:),59,pennypangCODE,59,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12.5997388363
:),'module' object has no attribute 'calculate_hypotenuse',0,wukaicharlott,0,-,0.566628932953
:),'module' object has no attribute 'calculate_hypotenuse',0,JoeSiThu,0,-,0.466065168381
:),'module' object has no attribute 'calculate_hypotenuse',0,joseangelodiaz,0,-,0.466101884842
:),cannot concatenate 'str' and 'NoneType' objects,0,FlimEden,0,-,0.565134048462
:),'module' object has no attribute 'calculate_hypotenuse',0,JamesBui98,0,-,0.464922904968
:),object of type 'NoneType' has no len(),0,HarleyT,0,-,0.616232872009
:),:),44,sudassana,59,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1]",11.1447179317
:),:),59,sheldakristie,59,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12.6004838943
:),:),59,RangoRay,59,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12.5505020618
:),Non-ASCII character '\xc2' in file ../code1161StudentRepos/admiralstrand/week5/exercise2.py on line 72~ but no encoding declared; see http://python.org/dev/peps/pep-0263/ for details (exercise2.py~ line 71),0,admiralstrand,0,-,10.9471430779
:),'module' object has no attribute 'calculate_hypotenuse',0,esky3759,0,-,0.515757083893
:),'module' object has no attribute 'calculate_hypotenuse',0,marcoscamara,0,-,0.51609992981
:),'module' object has no attribute 'calculate_hypotenuse',0,RichardWhitfield,0,-,0.464945077896
:),unsupported operand type(s) for +: 'int' and 'function',0,EthanGonzaga,0,-,0.565169095993
:),:),55,hannahlazenby,59,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1]",12.0975790024
:),'module' object has no attribute 'calculate_hypotenuse',0,mcfblair,0,-,0.566498994827
:),'module' object has no attribute 'calculate_hypotenuse',0,lorniashi,0,-,0.515990018845
:),cannot concatenate 'str' and 'NoneType' objects,0,atiredturtle,0,-,0.566145896912
:),'module' object has no attribute 'calculate_hypotenuse',0,lisadoan98,0,-,0.466059923172
:),'module' object has no attribute 'calculate_hypotenuse',0,Eilrahccc,0,-,0.46600317955
:),:),59,alanw410,59,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24.5864560604
:),'module' object has no attribute 'calculate_hypotenuse',0,Nodeconnector,0,-,0.56655216217
:),'module' object has no attribute 'calculate_hypotenuse',0,AidenRay,0,-,0.514975070953
:),'module' object has no attribute 'calculate_hypotenuse',0,AndrewSong487,0,-,0.46501994133
:),cannot concatenate 'str' and 'NoneType' objects,0,wilham7,0,-,0.56510591507
:),'module' object has no attribute 'calculate_hypotenuse',0,Matchalism,0,-,0.465992927551
:),:),59,Linseed813,59,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",13.3516831398
:),object of type 'Response' has no len(),0,YuncongLiu,0,-,1.11926102638
